Company,CityCountry,Coordinates
malwarebytes,"san jose, united states","[-121.890591, 37.3361663]"
antivirussoftwareguide,"san jose, united states","[-121.890591, 37.3361663]"
resume-now,"san jose, united states","[11.0480288, 46.3144754]"
myperfectresume,"san jose, united states","[11.0480288, 46.3144754]"
resumehelp,"san jose, united states","[11.0480288, 46.3144754]"
accenture,"dublin, ireland","[-6.3504307821661605, 53.3397423]"
amazon,"seattle, united states","[-122.330062, 47.6038321]"
